Право,Для удостоверения,Для внесения в приказ о допуске,Для медосмотра,Для протокола,По электробезопасности,Специальное право
Включение и отключение гидроагрегатов осмотр электрооборудования машинного хозяйства технического водоснабжения плотины систем водоснабжения на Добромыслянской ГЭС,1,1,0,1,1,0
Выдача разрешений на деблокирование оперативной блокировки,1,1,0,1,1,0
Выдачи нарядов на работы с повышенной опасностью,1,1,0,1,0,1
Выдачи нарядов распоряжений для работ в действующих электроустановках,1,1,0,1,1,0
ГЭС,0,0,0,0,0,0
Дизель-генератор базы ВЭС,0,0,0,0,1,0
Допускающий,1,1,0,1,1,0
Допускающий согласно п.7.18.5 ТКП 427-2012,1,1,0,1,1,0
Единоличный осмотр электроустановок,1,1,0,1,1,0
Единоличный осмотр электроустановок гидротехнических сооружений и гидромеханического оборудования электростанций,1,1,0,1,1,0
Контролирующее лицо при производстве оперативных переключений,1,1,0,1,1,0
Наблюдающий,1,1,0,1,1,0
Обслуживание аккумуляторных батарей и зарядных устройств,1,0,0,1,0,1
Обслуживание УПА,1,0,0,1,0,1
Оперативных переключений,1,1,0,1,1,0
Ответственный за организацию и безопасное проведение погрузочно-разгрузочных работ,1,0,0,1,0,1
Производитель работ,1,1,0,1,1,0
ПС 330кВ,0,0,0,0,1,0
ПС 35-110кВ,0,0,0,0,1,0
ПС 35-110кВ Городокского РЭС,0,0,0,0,1,0
Работа в люльке мобильной подъёмной рабочей платформы,1,0,0,1,0,1
Работа на сверлильном и наждачном станке,1,0,0,1,0,1
Работа с абразивным и эльборовым инструментом,1,0,0,1,0,1
Работа с электроизмерительными клещами и электроизолирующими штангами для проведения измерений,1,0,0,1,0,1
Работы в зоне наведенного напряжения,1,1,0,1,0,1
Работы на высоте,1,0,1,1,0,1
Работы с применением высоконапорного моющего аппарата (аппарата для мойки автомобилей) KARCHER HDS 895. 4/18-4m Eco,1,0,0,1,0,1
Разработка типовых бланков переключений,1,1,0,1,0,1
Руководитель работ,1,1,0,1,1,0
Секционирующих КРУН и реклоузеров на ВЛ 6-10кВ,0,0,0,0,1,0
Секционирующих КРУН и реклоузеров на ВЛ 6-10кВ Городокского РЭС,0,0,0,0,1,0
Совмещение слесаря по ремонту автомобилей,1,0,0,1,0,1
Совмещение электромонтёра по ремонту аппаратуры РЗА,1,0,0,1,0,1
ТП РП РЭС,0,0,0,0,1,0
ТП РП РЭС Городокского РЭС,0,0,0,0,1,0
Управление автомобилем ГАЗ 2705,1,0,0,1,0,1
Управление автомобилем ГАЗ 27057,1,0,0,1,0,1
Управление автомобилем оборудованным на газовое топливо,1,0,0,1,0,1
Установка базовых и специальных заземлений на линиях находящихся под наведенным напряжением,1,1,0,1,1,0
Член ПДК,1,0,0,1,0,1
